,score,id1,id2
29123590,97,6852,7078
26161918,97,5250,4906
27436975,97,5794,5473
28187142,97,6251,6457
3998007,97,594,551
11752155,97,1861,1746
3318996,97,492,453
21260059,97,3848,3617
26918155,97,5682,5837
29693489,97,7628,7170
28533047,97,6379,5977
26100016,97,5209,5246
26199352,97,5236,4825
28545606,97,6371,5928
6188391,97,946,987
17820133,97,3064,2848
27481678,97,5779,5408
22909733,97,4289,3990
21358428,97,3874,3828
26963165,97,5733,5838
29300217,97,6983,6589
29692455,97,7633,7195
27471147,97,5774,5364
22976215,97,4316,3992
25955724,97,5262,4942
29640566,96,7660,7333
4632731,96,671,713
25947452,96,5265,4949
3637920,96,449,559
26934777,96,5675,5840
26040520,96,5295,5025
29651268,96,7645,7249
28466807,96,6359,5889
29565915,96,7503,7711
27496578,96,5786,5453
14862369,96,2371,2182
29665856,96,7679,7403
24515081,96,4783,4511
9444759,96,1443,1325
21288684,96,3841,3560
26908691,96,5693,5854
12960956,96,2022,2121
29656209,96,7648,7130
29647006,96,7674,7393
468702,96,61,130
28303249,96,6223,6469
10563196,96,1645,1469
19554250,96,3491,3433
27061442,95,5620,5855
12548151,95,1705,2772
24285954,95,4579,4805
9259464,95,1381,1449
29116868,95,6846,7079
25726275,95,5090,5307
27257913,95,5818,6142
28540938,95,6368,5938
24335864,95,4625,5279
29618332,95,7421,7684
25958478,95,5261,4941
29151368,95,6838,6783
25620759,95,5161,5239
5566566,95,840,780
24589179,95,4790,4524
29694268,95,7618,7140
28112138,94,6264,6394
26180668,94,5243,4872
29652362,94,7675,7385
27137370,94,5657,5850
29617310,94,7419,7685
752455,94,127,1345
22891772,94,4282,4531
2785553,94,401,412
11782039,94,1867,1821
11529414,93,1766,1865
28350592,93,6417,6018
15928420,93,2574,2703
19390997,93,3299,3465
29307794,93,6991,6625
20922858,93,3758,3860
28508233,93,6385,6039
17883466,93,3097,2869
2075999,93,327,316
4760195,93,714,639
22587920,93,4193,4320
14577433,93,2379,2210
14582861,93,2380,2171
29697451,93,7607,7115
5615202,93,833,730
4590211,93,677,666
17795691,92,3069,2861
22869021,92,4288,3884
21251747,92,3850,3640
29562878,92,7515,7709
24149634,92,4682,4784
28554791,92,6377,5964
26956126,92,5703,5865
24173036,92,4675,4791
27323566,92,5848,5755
1408651,92,157,6892
29654584,92,7652,7284
12819083,92,2065,5059
26194015,92,5238,4832
28462003,92,6356,5909
14659867,92,2394,2148
19445555,92,3338,3469
10164641,92,1595,1591
8248651,92,1217,1270
22534849,92,4207,4324
29287111,91,7008,6695
19581530,91,3457,3227
29646566,91,7673,7383
28061027,91,6274,6463
29056500,91,6900,7662
1403784,91,157,1543
29645145,91,7670,7246
29193076,91,7032,6785
27469118,91,5788,5468
28983538,91,6888,7090
28504877,91,6383,6007
24440204,91,4776,4700
29023800,91,6901,7092
25666520,91,5174,5296
9066976,91,1452,1383
28287888,91,6230,6407
29639795,91,7560,7653
28458769,90,6354,5903
17946760,90,3084,2854
29218122,90,7075,6947
29164486,90,7044,6511
22270571,90,3595,3967
20881327,90,3743,3967
29191276,90,7030,6779
29585162,90,7554,7715
11089226,90,1533,4482
28511166,90,6387,6014
25669348,90,5173,5260
29168928,90,7048,6660
19572424,90,3459,3259
11145857,90,1543,6892
19286082,90,3372,3455
23224043,89,4275,3882
27490311,89,5783,5455
18575366,89,2765,4124
8751034,89,1137,1813
8327264,89,1268,1277
25151375,89,4366,5241
29181714,89,7021,6717
14571919,88,2378,2217
28126512,88,6309,6444
3217087,88,479,489
22618169,87,4127,4307
1406368,87,157,3924
19479880,87,3331,5575
4951196,87,626,1134
19479488,87,3331,5602
20036361,87,3157,3785
1403515,87,157,1430
1405710,87,157,3705
1403108,87,157,862
18005955,87,3025,4229
17078032,87,2555,4465
9368443,86,1440,1792
23088450,86,4229,6860
23568437,85,3924,6892
116524,85,28,859
18008440,85,3025,6860
27089461,85,5602,5575
14599371,85,2383,2200
1402591,85,157,470
21574752,85,3819,4023
184909,85,8,127
1408719,85,157,6860
8724807,84,1133,1366
11143574,84,1543,3924
8731583,84,1134,1805
17359585,84,2973,6221
636839,84,57,111
12815902,84,2065,1880
12816289,84,2065,2628
751802,84,127,819
27313681,84,5860,7088
3933340,84,603,598
9468911,83,1430,6892
13111413,83,2116,1948
7557737,83,1107,3920
21036473,83,3705,3924
11141622,83,1543,2350
6106403,83,761,1437
8989999,83,1177,1454
21038756,83,3705,6892
6794107,83,862,6892
13620716,83,1905,1906
6882172,83,859,6860
1405352,83,157,3331
20592609,83,3276,4229
20813165,83,3229,3227
26530794,83,4853,6143
2989605,82,370,6860
3574333,82,424,2090
23569071,82,3924,7488
1062625,82,120,216
15809994,82,2628,5059
6878491,82,859,3025
4475662,82,529,6618
19983651,82,3293,4172
13975179,82,1998,6148
13691943,82,1880,5059
1404677,82,157,2569
24826604,81,4413,7449
28988347,81,6892,6860
20198914,81,3145,3590
4954840,81,626,5093
5712982,81,819,1345
17392047,81,2965,3785
22554996,81,4202,5024
28027615,81,5508,5506
3157529,81,470,6892
4953490,81,626,3768
6789240,81,862,1543
17396200,81,2963,3075
11012915,81,1471,1705
5730639,81,786,5059
22447286,81,4175,4223
11422420,81,1805,3768
9464044,81,1430,1543
4496704,81,685,6860
1407970,81,157,5575
11142916,81,1543,3705
28132351,81,6312,6918
15573219,81,2207,6635
11113652,81,1537,4482
11114878,81,1537,6221
20090616,81,3172,4925
11111255,81,1537,2207
11142082,81,1543,2506
7781297,80,999,1705
17810351,80,3066,2862
11014071,80,1471,2772
27098758,80,5607,6284
23580832,80,3920,5153
12681702,80,2053,2128
6879687,80,859,4229
8733448,80,1134,3768
20270684,80,3103,5470
15511352,80,2218,3661
5718018,80,819,6078
4951625,80,626,1805
20595094,80,3276,6860
12819867,80,2065,6221
9464676,80,1430,2350
3947734,80,601,517
29100066,80,6792,6618
185591,80,8,819
25462210,80,4482,6221
15810778,80,2628,6221
3508131,80,420,859
15448234,80,2266,4482
7843257,80,1009,3920
23567368,79,3924,5607
11086806,79,1533,2266
1198748,79,187,250
11110524,79,1537,1803
11145925,79,1543,6860
7316716,79,1070,3798
1406234,79,157,4229
2983526,79,370,420
3155394,79,470,4644
22701525,79,4133,4409
572570,79,47,4405
2984007,79,370,859
20595376,79,3276,6618
6882454,79,859,6618
21039390,79,3705,7488
11141883,79,1543,2569
6788971,79,862,1430
27090142,79,5602,6892
15514135,79,2218,6845
4469782,79,529,859
1409285,79,157,7488
29042924,79,6920,7088
3152662,79,470,1543
25579748,79,5143,7662
13690848,79,1880,3964
16193986,78,2569,6892
1402568,78,157,370
186244,78,8,1345
28983370,78,6888,6901
6791166,78,862,3705
19480561,78,3331,6892
18869074,78,2891,6918
6791824,78,862,3924
11408681,78,1803,2065
26626994,78,5007,6528
11094281,78,1534,3539
6342155,78,930,4178
10153090,78,1582,2628
29412721,78,6486,7426
7786664,78,999,7473
28728151,78,5911,7544
23839742,78,4018,6836
28997199,78,6881,6585
6880970,78,859,5876
3290376,78,497,859
20240358,78,3110,6221
29211876,78,7090,7092
10096342,78,1338,1895
18005326,78,3025,3276
11491726,78,1765,5948
9466628,78,1430,3924
15572188,78,2207,6221
10238534,78,1590,6845
26658483,78,5059,6221
9465970,78,1430,3705
2908914,78,385,6148
6879058,78,859,3276
9465887,78,1430,3205
12850752,78,2056,2016
191280,77,8,6078
20239795,77,3110,5644
10097738,77,1338,3204
85601,77,31,774
6794175,77,862,6860
1402610,77,157,497
1403265,77,157,1009
24076128,77,4644,5139
10100565,77,1338,5911
757491,77,127,6078
9468979,77,1430,6860
26532759,77,4852,5481
29070127,77,6860,6618
28975751,77,6078,7358
7845604,77,1009,6860
11090452,77,1533,6221
8735140,77,1134,5005
18008466,77,3025,6792
27917066,77,5575,6892
8552085,77,1255,4229
2906045,77,385,3773
11411572,77,1803,4482
119637,77,28,4229
3547281,77,415,4172
4955182,77,626,5005
122122,77,28,6860
12469230,77,1751,5911
22459326,77,4172,4334
10152235,77,1582,1457
192381,77,8,7358
12467291,77,1751,4644
1407000,77,157,5139
11086049,77,1533,1537
1407578,77,157,5602
3292586,77,497,3302
16132821,77,2697,2488
1405627,77,157,3205
8512697,77,1257,3513
21516505,77,3785,6619
774062,77,130,171
28997171,77,6881,6986
24837364,77,4409,5644
16235178,77,2720,6412
3152393,77,470,1430
4491093,77,685,862
15570136,77,2207,4133
23336564,77,3964,5059
20594171,77,3276,5399
3151986,77,470,862
12817988,77,2065,3964
15570962,77,2207,4482
2987120,77,370,4229
18963433,76,2866,3310
8510535,76,1257,1498
3510048,76,420,3025
11027062,76,1498,3513
1403121,76,157,859
3154147,76,470,3361
13775946,76,1895,4644
23568505,76,3924,6860
12550733,76,1705,5780
4494219,76,685,4229
22701731,76,4133,4482
13433865,76,2090,3308
6790787,76,862,3302
19382900,76,3302,3920
1405038,76,157,3025
9157700,76,1406,1943
1407582,76,157,5607
14666418,76,2395,3136
22806133,76,4162,4811
20688911,76,3205,6892
7782453,76,999,2772
2983994,76,370,862
16193388,76,2569,6284
234544,76,14,3871
20031558,76,3169,7260
11143799,76,1543,4626
3154588,76,470,3705
12804390,76,2063,2278
4475406,76,529,6792
20346661,76,3136,3877
11866477,76,1821,2261
1402777,76,157,685
1404416,76,157,2350
11015489,76,1471,4626
4470008,76,529,1276
15612100,76,2235,3103
18659645,76,2772,3169
18012657,76,3024,6317
19581527,76,3457,3229
11782666,76,1867,2261
23088382,76,4229,6892
23087248,76,4229,5876
19383520,76,3302,5153
17210913,76,2506,7488
20956197,76,3773,7340
9468230,76,1430,5575
7842216,76,1009,3302
18660673,76,2772,4650
21037687,76,3705,5607
19380720,76,3303,6792
9655264,76,1311,2402
23566379,76,3924,4626
21038824,76,3705,6860
7227029,76,1092,1048
2907310,76,385,4507
17207996,76,2506,3924
3944776,76,555,4482
17395223,76,2965,6619
2813249,75,405,6412
23088732,75,4229,6618
21383177,75,3868,3601
16194054,75,2569,6860
11146404,75,1543,6660
14801029,75,2350,6892
6882157,75,859,6906
25349932,75,4544,5349
21038157,75,3705,6277
18728083,75,2875,6318
11146626,75,1543,7662
11145661,75,1543,5911
23582559,75,3920,6860
6878784,75,859,3302
18662223,75,2772,6284
5713397,75,819,1705
4951125,75,626,1220
28301420,75,6221,7276
18008722,75,3025,6618
6901522,75,919,5389
27099990,75,5607,7488
15658072,75,2224,6619
1406516,75,157,4644
2983496,75,370,497
5027574,75,615,7454
6486546,75,990,5139
24837927,75,4409,6221
752870,75,127,1705
118441,75,28,3025
5712512,75,819,909
19069310,75,2849,7488
3155246,75,470,3924
6882198,75,859,6792
15808119,75,2628,3110
26705476,75,5040,6208
28369271,75,6412,6792
12551616,75,1705,6078
7843877,75,1009,5153
